freq	kvnp_7_p	kvnp_10_p	kvnp_11_c	kvnp_14_c	7_p_std	10_p_std	11_c_std	14_c_std	p_mean	c_mean
221.4	63.80222	53.118702	62.51048	63.136448	0.716884562	0.53084274	0.683053394	0.673058332	0.623863651	0.678055863
222.75	63.766727	53.067356	62.414116	63.076336	0.716539909	0.530337563	0.682133674	0.672494104	0.623438736	0.677313889
224.1	63.730934	53.017708	62.317825	63.016254	0.716192344	0.529849093	0.68121465	0.671930157	0.623020719	0.676572404
225.45	63.69484	52.969803	62.22164	62.956215	0.715841856	0.529377772	0.680296638	0.671366614	0.622609814	0.675831626
226.8	63.65844	52.923668	62.1256	62.896236	0.715488396	0.528923865	0.679380011	0.670803634	0.62220613	0.675091822
228.15	63.621735	52.87929	62.029724	62.836327	0.715131974	0.528487244	0.678464948	0.670241311	0.621809609	0.67435313
229.5	63.584724	52.83672	61.934055	62.776497	0.714772582	0.528068412	0.677551861	0.66967973	0.621420497	0.673615795
230.85	63.54741	52.79596	61.83863	62.716766	0.714410246	0.527667388	0.676641103	0.669119078	0.621038817	0.67288009
232.2	63.50978	52.757008	61.743477	62.657143	0.714044843	0.527284152	0.675732941	0.668559439	0.620664497	0.67214619
233.55	63.47185	52.71988	61.64864	62.59764	0.713676526	0.526918862	0.674827795	0.668000927	0.620297694	0.671414361
234.9	63.43361	52.68457	61.554146	62.538273	0.713305199	0.526571458	0.673925922	0.667443691	0.619938329	0.670684807
236.25	63.395058	52.651085	61.460037	62.479053	0.712930843	0.52624201	0.673027724	0.666887836	0.619586426	0.66995778
237.6	63.356194	52.619404	61.366352	62.419994	0.712553456	0.525930311	0.672133573	0.666333491	0.619241884	0.669233532
238.95	63.317017	52.589535	61.273125	62.361107	0.712173031	0.52563644	0.671243793	0.665780761	0.618904735	0.668512277
240.3	63.27753	52.561462	61.1804	62.302414	0.711789595	0.525360239	0.670358804	0.665229852	0.618574917	0.667794328
241.65	63.237732	52.53516	61.08821	62.243916	0.711403139	0.525101463	0.669478922	0.664680773	0.618252301	0.667079847
243	63.197617	52.51062	60.996597	62.185635	0.711013605	0.524860022	0.668604546	0.664133731	0.617936813	0.666369139
244.35	63.157185	52.487804	60.9056	62.12758	0.710620993	0.524635542	0.66773605	0.66358881	0.617628268	0.66566243
245.7	63.11644	52.46671	60.815258	62.06977	0.710225341	0.524428006	0.666873805	0.663046189	0.617326673	0.664959997
247.05	63.075375	52.447292	60.725613	62.01221	0.709826582	0.524236958	0.666018213	0.662505915	0.61703177	0.664262064
248.4	63.034	52.42952	60.6367	61.954926	0.709424813	0.524062105	0.665169606	0.661968231	0.616743459	0.663568919
249.75	62.992306	52.41337	60.548565	61.897923	0.709019946	0.523903211	0.664328426	0.661433184	0.616461579	0.662880805
251.1	62.950294	52.3988	60.461243	61.841213	0.708611992	0.523759861	0.663495004	0.660900888	0.616185927	0.662197946
252.45	62.907967	52.38576	60.374775	61.784813	0.708200978	0.523631565	0.662669734	0.660371502	0.615916272	0.661520618
253.8	62.865314	52.37423	60.289192	61.728733	0.707786799	0.523518125	0.66185291	0.659845119	0.615652462	0.660849014
255.15	62.82235	52.36415	60.204548	61.672993	0.7073696	0.523418952	0.661045048	0.659321927	0.615394276	0.660183488
256.5	62.779064	52.355488	60.12087	61.6176	0.706949274	0.523333729	0.660246406	0.658801993	0.615141502	0.6595242
257.85	62.735466	52.34819	60.038193	61.56257	0.706525919	0.523261926	0.659457318	0.658285466	0.614893923	0.658871392
259.2	62.69154	52.342197	59.95656	61.507908	0.706099378	0.523202963	0.658678194	0.657772393	0.614651171	0.658225293
260.55	62.647297	52.337475	59.876	61.453636	0.70566976	0.523156505	0.657909311	0.65726298	0.614413132	0.657586145
261.9	62.602737	52.33397	59.79655	61.39976	0.705237063	0.52312202	0.657151022	0.656757285	0.614179542	0.656954153
263.25	62.557854	52.331627	59.718246	61.3463	0.704801229	0.523098968	0.65640367	0.656255494	0.613950099	0.656329582
264.6	62.512657	52.33041	59.64112	61.293262	0.704362347	0.523086995	0.655667562	0.655757664	0.613724671	0.655712613
265.95	62.46714	52.33024	59.5652	61.240658	0.703920357	0.523085322	0.654942964	0.655263908	0.61350284	0.655103436
267.3	62.421307	52.33108	59.490513	61.188503	0.703475299	0.523093587	0.654230134	0.654774366	0.613284443	0.65450225
268.65	62.375153	52.33288	59.417088	61.136803	0.703027124	0.523111296	0.653529349	0.654289095	0.61306921	0.653909222
270	62.32868	52.335567	59.344955	61.08557	0.702575851	0.523137733	0.652840895	0.653808208	0.612856792	0.653324551
271.35	62.28189	52.3391	59.27413	61.03482	0.702121499	0.523172493	0.652164925	0.653331854	0.612646996	0.652748389
272.7	62.234787	52.343437	59.204647	60.98456	0.701664109	0.523215163	0.651501763	0.652860099	0.612439636	0.652180931
274.05	62.18737	52.348507	59.13652	60.934795	0.701203669	0.523265045	0.650851543	0.652392991	0.612234357	0.651622267
275.4	62.13963	52.354267	59.069763	60.885536	0.700740093	0.523321716	0.650214399	0.651930632	0.612030905	0.651072516
276.75	62.09158	52.360664	59.0044	60.8368	0.700273507	0.523384654	0.64959056	0.651473182	0.61182908	0.650531871
278.1	62.04322	52.367638	58.94044	60.78859	0.69980391	0.523453269	0.648980111	0.651020669	0.61162859	0.65000039
279.45	61.99454	52.375145	58.877903	60.740913	0.699331207	0.523527128	0.648383243	0.650573159	0.611429167	0.649478201
280.8	61.945557	52.38315	58.816788	60.69378	0.69885556	0.523605886	0.647799948	0.650130756	0.611230723	0.648965352
282.15	61.896263	52.39158	58.75711	60.647198	0.698376894	0.523688826	0.647230367	0.649693524	0.61103286	0.648461945
283.5	61.846657	52.400394	58.698875	60.601173	0.697895199	0.523775544	0.646674559	0.64926152	0.610835371	0.647968039
284.85	61.796745	52.40955	58.642082	60.555714	0.697410531	0.523865627	0.646132513	0.648834829	0.610638079	0.647483671
286.2	61.74653	52.418995	58.58673	60.510822	0.696922922	0.523958553	0.645604221	0.64841346	0.610440738	0.64700884
287.55	61.696007	52.428696	58.532825	60.46651	0.696432322	0.524053998	0.645089739	0.647997535	0.61024316	0.646543637
288.9	61.645187	52.438595	58.48036	60.422775	0.695938838	0.524151391	0.644589001	0.647587026	0.610045115	0.646088013
290.25	61.594063	52.448658	58.429325	60.379627	0.695442402	0.524250398	0.644101912	0.647182026	0.6098464	0.645641969
291.6	61.54264	52.458843	58.37971	60.337067	0.694943062	0.524350605	0.643628375	0.646782546	0.609646833	0.64520546
292.95	61.49093	52.46911	58.331516	60.2951	0.694440935	0.524451618	0.6431684	0.646388632	0.609446277	0.644778516
294.3	61.43892	52.47942	58.28472	60.253735	0.693935896	0.524553055	0.642721768	0.646000368	0.609244475	0.644361068
295.65	61.38662	52.489727	58.239315	60.212963	0.69342804	0.524654462	0.642288412	0.645617671	0.609041251	0.643953041
297	61.33403	52.500004	58.19527	60.172794	0.692917369	0.524755574	0.641868037	0.645240633	0.608836471	0.643554335
298.35	61.28116	52.510216	58.152588	60.133232	0.692403978	0.524856047	0.64146067	0.644869293	0.608630012	0.643164981
299.7	61.228004	52.520325	58.111233	60.09427	0.69188781	0.524955506	0.641065968	0.644503584	0.608421658	0.642784776
301.05	61.174572	52.530293	58.071186	60.055912	0.691368962	0.525053578	0.640683751	0.644143545	0.60821127	0.642413648
302.4	61.12086	52.5401	58.032417	60.018158	0.690847396	0.525150066	0.64031373	0.643789175	0.607998731	0.642051453
303.75	61.06688	52.549706	57.994907	59.98101	0.690323226	0.525244576	0.639955726	0.643440494	0.607783901	0.64169811
305.1	61.012627	52.559082	57.958633	59.94446	0.689796406	0.525336823	0.639609519	0.643097425	0.607566615	0.641353472
